strike,2021-05-21,2021-06-18,2021-07-16,2021-08-20
20.0,1.4140625,0.65234375,0.5,0.6640625
25.0,1.4140625,0.65234375,1.05859375,0.6640625
30.0,1.4140625,0.65234375,0.904296875,0.6640625
33.0,1.4140625,0.65234375,0.75,0.6640625
34.0,1.4140625,0.65234375,0.84765625,0.6640625
35.0,1.4140625,0.65234375,0.9453125,0.6640625
36.0,1.4140625,0.65234375,1.0338541666666667,0.6640625
37.0,1.4140625,0.65234375,1.1223958333333333,0.830078125
38.0,1.5625,0.65234375,1.2109375,0.99609375
39.0,1.39453125,0.65234375,1.12890625,0.884765625
40.0,1.91796875,0.65234375,1.046875,0.830078125
41.0,1.45703125,0.65234375,0.9365234375,0.90234375
42.0,0.6796875,0.65234375,0.826171875,0.171875
43.0,1.1484375,0.65234375,0.8502604166666666,0.861328125
44.0,1.18359375,0.65234375,0.8743489583333334,1.076171875
45.0,0.53125,0.65234375,0.8984375,0.7265625
46.0,0.58203125,0.65234375,0.87109375,0.390625
47.0,1.33984375,0.65234375,0.84375,0.39453125
48.0,0.7890625,0.65234375,0.7890625,0.48046875
49.0,1.1015625,0.65234375,0.734375,0.701171875
50.0,0.5234375,0.65234375,0.6796875,0.49609375
55.0,0.5,0.65234375,0.48046875,0.59765625
60.0,0.515625,0.46484375,0.5390625,0.478515625
65.0,0.578125,0.46484375,0.4453125,0.501953125
70.0,0.59375,0.46484375,0.4609375,0.484375
75.0,0.640625,0.46484375,0.55078125,0.599609375
80.0,1.015625,0.46484375,0.5625,0.701171875
