strike,2021-09-17
65.0,0.1826171875
67.5,0.1826171875
68.75,0.1826171875
70.0,0.1826171875
71.25,0.1826171875
72.5,0.1826171875
73.75,0.1826171875
75.0,0.1826171875
77.5,0.1826171875
80.0,0.1826171875
82.5,0.1826171875
85.0,0.1826171875
87.5,0.1826171875
90.0,0.1826171875
92.5,0.1826171875
95.0,0.1826171875
97.5,0.1826171875
100.0,0.1826171875
102.5,0.1826171875
105.0,0.1826171875
107.5,0.1826171875
110.0,0.1826171875
112.5,0.1826171875
115.0,0.2216796875
117.5,0.26171875
120.0,0.2783203125
122.5,0.29541015625
280.0,0.29541015625
285.0,0.29541015625
290.0,0.29541015625
295.0,0.29541015625
300.0,0.29541015625
310.0,0.29541015625
320.0,0.29541015625
330.0,0.29541015625
340.0,0.29541015625
350.0,0.29541015625
360.0,0.29541015625
370.0,0.29541015625
380.0,0.29541015625
390.0,0.29541015625
400.0,0.29541015625
410.0,0.29541015625
420.0,0.29541015625
430.0,0.29541015625
440.0,0.29541015625
450.0,0.29541015625
460.0,0.29541015625
470.0,0.29541015625
480.0,0.29541015625
490.0,0.29541015625
500.0,0.29541015625
