strike,2021-05-21,2021-06-18,2021-07-16,2021-08-20
20.0,0.71875,0.46484375,0.75,0.8203125
25.0,0.71875,0.46484375,0.75,0.8203125
30.0,0.71875,0.46484375,0.578125,0.8203125
33.0,0.71875,0.46484375,0.71484375,0.8203125
34.0,0.71875,0.46484375,0.615234375,0.8203125
35.0,0.71875,0.46484375,0.515625,0.6484375
36.0,0.71875,0.46484375,0.5091145833333334,1.015625
37.0,0.71875,0.46484375,0.5026041666666666,0.8046875
38.0,0.8046875,0.46484375,0.49609375,0.59375
39.0,0.7578125,0.46484375,0.591796875,1.0703125
40.0,0.609375,0.46484375,0.6875,0.6953125
41.0,0.671875,0.46484375,0.59375,0.73046875
42.0,0.640625,0.46484375,0.5,0.765625
43.0,0.5703125,0.46484375,0.4869791666666667,0.642578125
44.0,0.5546875,0.46484375,0.4739583333333333,0.6015625
45.0,0.5546875,0.46484375,0.4609375,0.69140625
46.0,0.5546875,0.46484375,0.4453125,0.6376953125
47.0,0.52734375,0.46484375,0.4296875,0.66455078125
48.0,0.46875,0.46484375,0.4934895833333333,0.69140625
49.0,0.5546875,0.46484375,0.5572916666666666,0.60546875
50.0,0.5625,0.46484375,0.62109375,0.51953125
55.0,0.56640625,0.46484375,0.4453125,0.478515625
60.0,0.70703125,0.46484375,0.22265625,0.8447265625
65.0,1.08984375,0.46484375,0.5419921875,0.8447265625
70.0,1.08984375,0.46484375,0.861328125,0.8447265625
75.0,1.08984375,0.46484375,0.861328125,0.8447265625
80.0,1.08984375,0.46484375,0.861328125,0.8447265625
