strike,2021-05-21,2021-06-18,2021-07-16,2021-08-20,2021-11-19
20.0,0.40625,0.484375,1.30078125,1.146484375,0.861328125
25.0,0.40625,0.484375,1.30078125,1.146484375,0.861328125
30.0,0.40625,0.484375,1.30078125,1.146484375,0.861328125
33.0,0.40625,0.484375,1.4921875,1.146484375,0.8515625
34.0,0.40625,0.484375,1.5556640625,1.146484375,0.841796875
35.0,0.40625,0.484375,1.619140625,1.146484375,0.83203125
36.0,0.40625,0.484375,1.6764322916666667,1.146484375,0.780859375
37.0,0.40625,0.484375,1.7337239583333333,1.279296875,0.7296875
38.0,0.40625,0.484375,1.791015625,1.412109375,0.678515625
39.0,0.40625,0.484375,1.0087890625,1.28125,0.62734375
40.0,0.40625,0.484375,0.2265625,0.416015625,0.576171875
41.0,0.40625,0.48125,0.8515625,1.27734375,0.5578125
42.0,0.40625,0.478125,1.4765625,0.6015625,0.539453125
43.0,0.40625,0.475,1.1217447916666667,1.224609375,0.52109375
44.0,0.40625,0.471875,0.7669270833333334,0.640625,0.502734375
45.0,0.40625,0.46875,0.412109375,0.42578125,0.484375
46.0,0.4921875,0.465625,0.4091796875,0.515625,0.490625
47.0,0.34375,0.4625,0.40625,0.482421875,0.496875
48.0,0.484375,0.459375,0.4166666666666667,0.404296875,0.503125
49.0,0.4375,0.45625,0.4270833333333333,0.40234375,0.509375
50.0,0.4765625,0.453125,0.4375,0.390625,0.515625
55.0,0.625,0.44140625,0.44921875,0.453125,0.45703125
60.0,0.75,0.453125,0.4375,0.41796875,0.525390625
65.0,1.125,0.5625,0.5859375,0.48828125,0.5640625
70.0,1.5,0.640625,0.5,0.546875,0.602734375
75.0,1.5625,0.640625,0.6875,0.5078125,0.64140625
80.0,1.5625,0.640625,0.75,0.5546875,0.680078125
85.0,1.5625,0.640625,0.75,0.5546875,0.71875
